id_SubFed;result;period;year;amount
0;соответствуют замещаемой должности;АППГ;2021;37
0;соответствуют замещаемой должности;с начала отчетного года;2021;202
0;соответствуют замещаемой должности и рекомендованы к включению в кадровый резерв;АППГ;2021;10
0;соответствуют замещаемой должности и рекомендованы к включению в кадровый резерв;с начала отчетного года;2021;151
0;соответствуют замещаемой должности при условии успешного получения дополнительного профессионального образования;АППГ;2021;4
0;соответствуют замещаемой должности при условии успешного получения дополнительного профессионального образования;с начала отчетного года;2021;3
0;не соответствуют замещаемой должности;АППГ;2021;0
0;не соответствуют замещаемой должности;с начала отчетного года;2021;0
1;соответствуют замещаемой должности;АППГ;2021;34
1;соответствуют замещаемой должности;с начала отчетного года;2021;90
1;соответствуют замещаемой должности и рекомендованы к включению в кадровый резерв;АППГ;2021;10
1;соответствуют замещаемой должности и рекомендованы к включению в кадровый резерв;с начала отчетного года;2021;34
1;соответствуют замещаемой должности при условии успешного получения дополнительного профессионального образования;АППГ;2021;0
1;соответствуют замещаемой должности при условии успешного получения дополнительного профессионального образования;с начала отчетного года;2021;0
1;не соответствуют замещаемой должности;АППГ;2021;0
1;не соответствуют замещаемой должности;с начала отчетного года;2021;0
2;соответствуют замещаемой должности;АППГ;2021;40
2;соответствуют замещаемой должности;с начала отчетного года;2021;4
2;соответствуют замещаемой должности и рекомендованы к включению в кадровый резерв;АППГ;2021;7
2;соответствуют замещаемой должности и рекомендованы к включению в кадровый резерв;с начала отчетного года;2021;2
2;соответствуют замещаемой должности при условии успешного получения дополнительного профессионального образования;АППГ;2021;0
2;соответствуют замещаемой должности при условии успешного получения дополнительного профессионального образования;с начала отчетного года;2021;0
2;не соответствуют замещаемой должности;АППГ;2021;0
2;не соответствуют замещаемой должности;с начала отчетного года;2021;0
3;соответствуют замещаемой должности;АППГ;2021;353
3;соответствуют замещаемой должности;с начала отчетного года;2021;212
3;соответствуют замещаемой должности и рекомендованы к включению в кадровый резерв;АППГ;2021;178
3;соответствуют замещаемой должности и рекомендованы к включению в кадровый резерв;с начала отчетного года;2021;109
3;соответствуют замещаемой должности при условии успешного получения дополнительного профессионального образования;АППГ;2021;10
3;соответствуют замещаемой должности при условии успешного получения дополнительного профессионального образования;с начала отчетного года;2021;4
3;не соответствуют замещаемой должности;АППГ;2021;0
3;не соответствуют замещаемой должности;с начала отчетного года;2021;0
4;соответствуют замещаемой должности;АППГ;2021;37
4;соответствуют замещаемой должности;с начала отчетного года;2021;122
4;соответствуют замещаемой должности и рекомендованы к включению в кадровый резерв;АППГ;2021;26
4;соответствуют замещаемой должности и рекомендованы к включению в кадровый резерв;с начала отчетного года;2021;119
4;соответствуют замещаемой должности при условии успешного получения дополнительного профессионального образования;АППГ;2021;0
4;соответствуют замещаемой должности при условии успешного получения дополнительного профессионального образования;с начала отчетного года;2021;2
4;не соответствуют замещаемой должности;АППГ;2021;0
4;не соответствуют замещаемой должности;с начала отчетного года;2021;0
5;соответствуют замещаемой должности;АППГ;2021;83
5;соответствуют замещаемой должности;с начала отчетного года;2021;30
5;соответствуют замещаемой должности и рекомендованы к включению в кадровый резерв;АППГ;2021;4
5;соответствуют замещаемой должности и рекомендованы к включению в кадровый резерв;с начала отчетного года;2021;3
5;соответствуют замещаемой должности при условии успешного получения дополнительного профессионального образования;АППГ;2021;0
5;соответствуют замещаемой должности при условии успешного получения дополнительного профессионального образования;с начала отчетного года;2021;0
5;не соответствуют замещаемой должности;АППГ;2021;0
5;не соответствуют замещаемой должности;с начала отчетного года;2021;0
6;соответствуют замещаемой должности;АППГ;2021;35
6;соответствуют замещаемой должности;с начала отчетного года;2021;16
6;соответствуют замещаемой должности и рекомендованы к включению в кадровый резерв;АППГ;2021;64
6;соответствуют замещаемой должности и рекомендованы к включению в кадровый резерв;с начала отчетного года;2021;46
6;соответствуют замещаемой должности при условии успешного получения дополнительного профессионального образования;АППГ;2021;0
6;соответствуют замещаемой должности при условии успешного получения дополнительного профессионального образования;с начала отчетного года;2021;0
6;не соответствуют замещаемой должности;АППГ;2021;0
6;не соответствуют замещаемой должности;с начала отчетного года;2021;0
7;соответствуют замещаемой должности;АППГ;2021;67
7;соответствуют замещаемой должности;с начала отчетного года;2021;114
7;соответствуют замещаемой должности и рекомендованы к включению в кадровый резерв;АППГ;2021;28
7;соответствуют замещаемой должности и рекомендованы к включению в кадровый резерв;с начала отчетного года;2021;91
7;соответствуют замещаемой должности при условии успешного получения дополнительного профессионального образования;АППГ;2021;0
7;соответствуют замещаемой должности при условии успешного получения дополнительного профессионального образования;с начала отчетного года;2021;0
7;не соответствуют замещаемой должности;АППГ;2021;0
7;не соответствуют замещаемой должности;с начала отчетного года;2021;0
8;соответствуют замещаемой должности;АППГ;2021;45
8;соответствуют замещаемой должности;с начала отчетного года;2021;214
8;соответствуют замещаемой должности и рекомендованы к включению в кадровый резерв;АППГ;2021;11
8;соответствуют замещаемой должности и рекомендованы к включению в кадровый резерв;с начала отчетного года;2021;76
8;соответствуют замещаемой должности при условии успешного получения дополнительного профессионального образования;АППГ;2021;0
8;соответствуют замещаемой должности при условии успешного получения дополнительного профессионального образования;с начала отчетного года;2021;5
8;не соответствуют замещаемой должности;АППГ;2021;0
8;не соответствуют замещаемой должности;с начала отчетного года;2021;0
9;соответствуют замещаемой должности;АППГ;2021;40
9;соответствуют замещаемой должности;с начала отчетного года;2021;103
9;соответствуют замещаемой должности и рекомендованы к включению в кадровый резерв;АППГ;2021;14
9;соответствуют замещаемой должности и рекомендованы к включению в кадровый резерв;с начала отчетного года;2021;30
9;соответствуют замещаемой должности при условии успешного получения дополнительного профессионального образования;АППГ;2021;0
9;соответствуют замещаемой должности при условии успешного получения дополнительного профессионального образования;с начала отчетного года;2021;2
9;не соответствуют замещаемой должности;АППГ;2021;0
9;не соответствуют замещаемой должности;с начала отчетного года;2021;0
10;соответствуют замещаемой должности;АППГ;2021;49
10;соответствуют замещаемой должности;с начала отчетного года;2021;75
10;соответствуют замещаемой должности и рекомендованы к включению в кадровый резерв;АППГ;2021;8
10;соответствуют замещаемой должности и рекомендованы к включению в кадровый резерв;с начала отчетного года;2021;23
10;соответствуют замещаемой должности при условии успешного получения дополнительного профессионального образования;АППГ;2021;0
10;соответствуют замещаемой должности при условии успешного получения дополнительного профессионального образования;с начала отчетного года;2021;1
10;не соответствуют замещаемой должности;АППГ;2021;0
10;не соответствуют замещаемой должности;с начала отчетного года;2021;0
11;соответствуют замещаемой должности;АППГ;2021;187
11;соответствуют замещаемой должности;с начала отчетного года;2021;304
11;соответствуют замещаемой должности и рекомендованы к включению в кадровый резерв;АППГ;2021;31
11;соответствуют замещаемой должности и рекомендованы к включению в кадровый резерв;с начала отчетного года;2021;86
11;соответствуют замещаемой должности при условии успешного получения дополнительного профессионального образования;АППГ;2021;10
11;соответствуют замещаемой должности при условии успешного получения дополнительного профессионального образования;с начала отчетного года;2021;5
11;не соответствуют замещаемой должности;АППГ;2021;0
11;не соответствуют замещаемой должности;с начала отчетного года;2021;0
12;соответствуют замещаемой должности;АППГ;2021;96
12;соответствуют замещаемой должности;с начала отчетного года;2021;147
12;соответствуют замещаемой должности и рекомендованы к включению в кадровый резерв;АППГ;2021;3
12;соответствуют замещаемой должности и рекомендованы к включению в кадровый резерв;с начала отчетного года;2021;15
12;соответствуют замещаемой должности при условии успешного получения дополнительного профессионального образования;АППГ;2021;0
12;соответствуют замещаемой должности при условии успешного получения дополнительного профессионального образования;с начала отчетного года;2021;1
12;не соответствуют замещаемой должности;АППГ;2021;0
12;не соответствуют замещаемой должности;с начала отчетного года;2021;0
13;соответствуют замещаемой должности;АППГ;2021;74
13;соответствуют замещаемой должности;с начала отчетного года;2021;68
13;соответствуют замещаемой должности и рекомендованы к включению в кадровый резерв;АППГ;2021;40
13;соответствуют замещаемой должности и рекомендованы к включению в кадровый резерв;с начала отчетного года;2021;46
13;соответствуют замещаемой должности при условии успешного получения дополнительного профессионального образования;АППГ;2021;0
13;соответствуют замещаемой должности при условии успешного получения дополнительного профессионального образования;с начала отчетного года;2021;0
13;не соответствуют замещаемой должности;АППГ;2021;0
13;не соответствуют замещаемой должности;с начала отчетного года;2021;0
